"sampleID" "shannon" "chao1" "consequtive" "bray" "jacc"
"139" "sub.526.6.ninemonth" 2.67833684934291 31 "sub.526.22.sick" 0.348197569527181 0.357142857142857
"140" "sub.438.7.one.year" 3.4339959469562 36 NA NA NA
"141" "sub.431.7.one.year" 0.827270919972636 22 "sub.431.17.sick" 0.983753384711518 0.59375
"142" "sub.630.5.sixmonth" 2.405168172144 28 "sub.630.6.ninemonth" 0.432257674033874 0.407407407407407
"143" "sub.781.3.twomonth" 2.61426757898841 30 "sub.781.14.sick" 0.585878004798736 0.259259259259259
"144" "sub.782.3.twomonth" 2.23609063160466 21 "sub.782.16.sick" 0.249088546594507 0.481481481481481
"145" "sub.394.7.one.year" 2.77241922119143 34 NA NA NA
"146" "sub.535.6.ninemonth" 2.15329983311117 26 "sub.535.15.sick" 0.442590718519589 0.555555555555556
"147" "sub.554.24.sick" 1.38286786081845 32 "sub.554.22.sick" 0.483446329174031 0.269230769230769
"148" "sub.709.4.fourmonth" 1.1019819732833 26 "sub.709.5.sixmonth" 0.34749243406831 0.521739130434783
"149" "sub.782.16.sick" 1.6666366700425 26 "sub.782.4.fourmonth" 0.219160020993075 0.62962962962963
"152" "sub.526.22.sick" 3.01047764878981 32 "sub.526.23.sick" 0.436468344215391 0.413793103448276
"153" "sub.708.4.fourmonth" 1.00378765531525 24 "sub.708.5.sixmonth" 0.156421122803676 0.392857142857143
"154" "sub.554.22.sick" 1.55111538257721 26 "sub.554.6.ninemonth" 0.373900177028562 0.227272727272727
"155" "sub.670.11.sick" 2.15937125017204 22 "sub.670.6.ninemonth" 0.851314716448833 0.551724137931034
"156" "sub.527.6.ninemonth" 3.44776868403426 35 NA NA NA
"157" "sub.793.3.twomonth" 2.90834976314228 25 "sub.793.5.sixmonth" 0.772331192501302 0.606060606060606
"158" "sub.652.5.sixmonth" 2.63881757488352 27 "sub.652.7.one.year" 0.74293093797838 0.533333333333333
"160" "sub.554.6.ninemonth" 2.02854524169464 25 "sub.554.7.one.year" 0.691530580890784 0.5
"161" "sub.655.5.sixmonth" 2.791029741753 24 "sub.655.14.sick" 0.545386641506467 0.454545454545455
"162" "sub.431.17.sick" 3.3421872844519 35 NA NA NA
"163" "sub.728.4.fourmonth" 1.25474564955475 30 "sub.728.5.sixmonth" 0.655753426678667 0.5
"164" "sub.663.5.sixmonth" 1.33199262102498 25 "sub.663.6.ninemonth" 0.951980501802028 0.714285714285714
"165" "sub.657.5.sixmonth" 2.88223788672174 35 "sub.657.6.ninemonth" 0.826442385149206 0.5
"166" "sub.671.5.sixmonth" 3.00412463224302 22 "sub.671.6.ninemonth" 0.843292618721702 0.688888888888889
