"","x"
"576","sub.708.5.sixmonth"
"577","sub.527.15.sick"
"578","sub.655.5.sixmonth"
"579","sub.663.5.sixmonth"
"580","sub.657.5.sixmonth"
"581","sub.621.14.sick"
"582","sub.464.5.sixmonth"
"583","sub.667.13.sick"
"584","sub.729.5.sixmonth"
"585","sub.222.5.sixmonth"
"586","sub.278.5.sixmonth"
"587","sub.272.14.sick"
"588","sub.267.5.sixmonth"
"589","sub.310.15.sick"
"590","sub.16.5.sixmonth"
"591","sub.14.5.sixmonth"
"592","sub.8.5.sixmonth"
"593","sub.13.5.sixmonth"
"594","sub.9.5.sixmonth"
"595","sub.94.11.sick"
"596","sub.90.5.sixmonth"
"597","sub.60.5.sixmonth"
"598","sub.347.5.sixmonth"
"599","sub.89.11.sick"
"600","sub.316.5.sixmonth"
"601","sub.367.5.sixmonth"
"602","sub.144.5.sixmonth"
"603","sub.249.5.sixmonth"
"604","sub.192.5.sixmonth"
"605","sub.179.5.sixmonth"
"606","sub.226.5.sixmonth"
"607","sub.247.13.sick"
"608","sub.233.5.sixmonth"
"609","sub.280.5.sixmonth"
"610","sub.273.5.sixmonth"
"611","sub.299.5.sixmonth"
"612","sub.290.5.sixmonth"
"613","sub.309.5.sixmonth"
"614","sub.321.5.sixmonth"
"615","sub.360.5.sixmonth"
"616","sub.370.5.sixmonth"
"617","sub.364.5.sixmonth"
"618","sub.349.5.sixmonth"
"619","sub.424.5.sixmonth"
"620","sub.440.5.sixmonth"
"621","sub.427.5.sixmonth"
"622","sub.416.5.sixmonth"
"623","sub.405.5.sixmonth"
"624","sub.471.5.sixmonth"
"625","sub.445.5.sixmonth"
"626","sub.475.5.sixmonth"
"627","sub.511.5.sixmonth"
"628","sub.569.14.sick"
"629","sub.29.6.ninemonth"
"630","sub.31.6.ninemonth"
"631","sub.20.6.ninemonth"
"632","sub.24.6.ninemonth"
"633","sub.2.12.sick"
"634","sub.78.6.ninemonth"
"635","sub.57.6.ninemonth"
"636","sub.55.6.ninemonth"
"637","sub.53.6.ninemonth"
"638","sub.110.6.ninemonth"
"639","sub.111.6.ninemonth"
"640","sub.139.6.ninemonth"
"641","sub.162.6.ninemonth"
"642","sub.188.6.ninemonth"
"643","sub.184.6.ninemonth"
"644","sub.164.6.ninemonth"
"645","sub.439.18.sick"
"646","sub.659.6.ninemonth"
"647","sub.782.6.ninemonth"
"648","sub.758.6.ninemonth"
"649","sub.526.21.sick"
"650","sub.669.6.ninemonth"
"651","sub.554.22.sick"
"652","sub.665.17.sick"
"653","sub.728.6.ninemonth"
"654","sub.484.6.ninemonth"
"655","sub.671.6.ninemonth"
"656","sub.571.6.ninemonth"
"657","sub.777.6.ninemonth"
"658","sub.733.6.ninemonth"
"659","sub.670.6.ninemonth"
"660","sub.676.6.ninemonth"
"661","sub.408.6.ninemonth"
"662","sub.470.6.ninemonth"
"663","sub.397.6.ninemonth"
"664","sub.585.6.ninemonth"
"665","sub.793.6.ninemonth"
"666","sub.533.12.sick"
"667","sub.524.11.sick"
"668","sub.692.13.sick"
"669","sub.422.6.ninemonth"
"670","sub.436.6.ninemonth"
"671","sub.431.6.ninemonth"
"672","sub.630.6.ninemonth"
"673","sub.394.6.ninemonth"
"674","sub.535.6.ninemonth"
"675","sub.708.11.sick"
"676","sub.527.6.ninemonth"
"677","sub.655.14.sick"
"678","sub.663.6.ninemonth"
"679","sub.657.6.ninemonth"
"680","sub.464.6.ninemonth"
"681","sub.667.6.ninemonth"
"682","sub.735.6.ninemonth"
"683","sub.577.6.ninemonth"
"684","sub.639.6.ninemonth"
"685","sub.638.6.ninemonth"
"686","sub.695.6.ninemonth"
"687","sub.716.6.ninemonth"
"688","sub.355.6.ninemonth"
"689","sub.222.14.sick"
"690","sub.278.15.sick"
"691","sub.272.6.ninemonth"
"692","sub.267.6.ninemonth"
"693","sub.310.6.ninemonth"
"694","sub.358.6.ninemonth"
"695","sub.16.6.ninemonth"
"696","sub.14.6.ninemonth"
"697","sub.8.6.ninemonth"
"698","sub.9.6.ninemonth"
"699","sub.94.6.ninemonth"
"700","sub.90.13.sick"
"701","sub.60.6.ninemonth"
"702","sub.347.6.ninemonth"
"703","sub.89.12.sick"
"704","sub.316.6.ninemonth"
"705","sub.367.6.ninemonth"
"706","sub.144.6.ninemonth"
"707","sub.249.6.ninemonth"
"708","sub.159.6.ninemonth"
"709","sub.198.6.ninemonth"
"710","sub.376.6.ninemonth"
"711","sub.307.6.ninemonth"
"712","sub.179.6.ninemonth"
"713","sub.225.6.ninemonth"
"714","sub.247.15.sick"
"715","sub.260.6.ninemonth"
"716","sub.280.6.ninemonth"
"717","sub.273.6.ninemonth"
"718","sub.299.6.ninemonth"
"719","sub.290.6.ninemonth"
"720","sub.282.6.ninemonth"
"721","sub.309.6.ninemonth"
"722","sub.312.6.ninemonth"
"723","sub.321.6.ninemonth"
"724","sub.364.6.ninemonth"
"725","sub.429.6.ninemonth"
"726","sub.440.6.ninemonth"
"727","sub.427.6.ninemonth"
"728","sub.416.6.ninemonth"
"729","sub.405.13.sick"
"730","sub.454.6.ninemonth"
"731","sub.471.6.ninemonth"
"732","sub.445.6.ninemonth"
"733","sub.29.7.one.year"
"734","sub.46.7.one.year"
"735","sub.2.16.sick"
"736","sub.78.7.one.year"
"737","sub.67.7.one.year"
"738","sub.53.7.one.year"
"739","sub.84.7.one.year"
"740","sub.97.7.one.year"
"741","sub.111.7.one.year"
"742","sub.96.7.one.year"
"743","sub.149.7.one.year"
"744","sub.197.7.one.year"
"745","sub.188.7.one.year"
"746","sub.164.7.one.year"
"747","sub.439.7.one.year"
"748","sub.666.7.one.year"
"749","sub.526.7.one.year"
"750","sub.554.7.one.year"
"751","sub.665.7.one.year"
"752","sub.652.7.one.year"
"753","sub.671.7.one.year"
"754","sub.571.7.one.year"
"755","sub.670.12.sick"
"756","sub.676.7.one.year"
